"osm_id","name","operator","operator.type","community_centre","community_centre.for","addr.postcode","x","y","facility_category","social_facility","social_facility.for"
1464238734,"Casal de Barri Can Rectoret",NA,NA,NA,NA,8017,2.0983784,41.4289822,"community_centre",NA,NA
1716858622,"El Petit Drac",NA,NA,NA,"child",NA,2.1229148,41.4001321,"community_centre",NA,NA
11494042869,"Mercat Cultural Vallvidrera",NA,NA,NA,NA,NA,2.1042939,41.4137619,"community_centre",NA,NA
4214857590,"Kagyu Samye Dzong Barcelona",NA,NA,NA,NA,8041,2.1744134,41.4195479,"community_centre",NA,NA
6909488685,"Centre Juvenil Martí Codolar",NA,NA,NA,"juvenile",NA,2.1510048,41.4279401,"community_centre",NA,NA
6971093885,"Casal infantil Guinardó",NA,NA,NA,"child",NA,2.1719128,41.4169066,"community_centre",NA,NA
7479659594,"Casal de Joves Girapells",NA,NA,NA,"juvenile",NA,2.179026,41.4193761,"community_centre",NA,NA
8212431917,"Ludoteca El Galliner",NA,NA,"youth_centre","child",NA,2.1622475,41.4303571,"community_centre",NA,NA
9267302319,"Casal infantil l'Ànec",NA,NA,NA,"child",NA,2.1594852,41.4161454,"community_centre",NA,NA
10857688806,"El Casalet",NA,NA,NA,NA,NA,2.1657907,41.4162551,"community_centre",NA,NA
3087310117,"La Negreta",NA,NA,NA,NA,8002,2.1776729,41.3788418,"community_centre",NA,NA
4548205725,"El Lokal","Autogestionat","association",NA,NA,8001,2.1670851,41.3793948,"community_centre",NA,NA
4726582800,"RAI - Recusos d'Animació Intercultural",NA,NA,NA,NA,NA,2.1800931,41.386153,"community_centre",NA,NA
4859449976,"Associació de Jubilats i Pensionistes APB",NA,NA,NA,"senior",8039,2.1884855,41.3748276,"community_centre",NA,NA
5536001407,"Centre Sant Pere Apòstol",NA,NA,NA,NA,NA,2.1763524,41.388262,"community_centre",NA,NA
5887404889,"Centre Cívic Drassanes",NA,NA,NA,NA,8001,2.1728488,41.3776003,"community_centre",NA,NA
9073113210,"Casal de Joves Autogestionat de Ciutat Vella",NA,NA,"social_centre",NA,NA,2.174722,41.3853567,"community_centre",NA,NA
10278344099,"Ateneu Enciclopèdic Popular",NA,NA,NA,NA,8010,2.1685787,41.3760234,"community_centre",NA,NA
11311374038,"Antiga Massana",NA,NA,"social_centre",NA,NA,2.1705781,41.3810367,"community_centre",NA,NA
11443027469,"Casal dels Infants Raval",NA,NA,NA,"juvenile",NA,2.1714813,41.3797047,"community_centre",NA,NA
11913216269,"Utópia BCN",NA,NA,NA,NA,NA,2.1752056,41.3825884,"community_centre",NA,NA
13034159608,"FELLA - Federació d'Estudis Llibertaris i Anarcosindicalistes",NA,NA,NA,NA,8001,2.1660417,41.3824337,"community_centre",NA,NA
3135713403,"Panteres Grogues",NA,NA,NA,"lgbtq",NA,2.1588913,41.384426,"community_centre",NA,NA
4876690923,"Racó de Cultura de Sant Antoni",NA,NA,NA,NA,NA,2.1588263,41.3783735,"community_centre",NA,NA
5909309466,"Espai 210","Ajuntament de Barcelona",NA,NA,NA,8013,2.1797617,41.403893,"community_centre",NA,NA
6087336872,"Centre Cívic Sagrada Familia",NA,NA,NA,NA,NA,2.1763142,41.4057351,"community_centre",NA,NA
6254166226,"Centro Cultural do Brasil em Barcelona",NA,NA,NA,NA,8007,2.1651352,41.3915323,"community_centre",NA,NA
7528323185,"Club d'Escacs Torrenegra",NA,NA,"club_home",NA,NA,2.1751503,41.4014422,"community_centre",NA,NA
8263616417,"Espai de fotografia Francesc Català Roca",NA,NA,NA,NA,NA,2.1495888,41.3768692,"community_centre",NA,NA
9532576817,"Centre de Serveis Socials Fort Pienc",NA,NA,NA,NA,NA,2.1800874,41.3938096,"community_centre",NA,NA
11178259937,"Espai d'entitats Fort Pienc",NA,NA,NA,NA,NA,2.1839042,41.3957089,"community_centre",NA,NA
11380922869,"Espai Línia. La Casa dels Barris",NA,NA,"cultural_centre",NA,NA,2.172626,41.3938477,"community_centre",NA,NA
11422441969,"Espai Veinal Calabria 66",NA,NA,NA,NA,NA,2.1570138,41.3783552,"community_centre",NA,NA
12880400101,"Espai Social. Fundació Catalunya La Pedrera",NA,NA,NA,NA,NA,2.1579738,41.3810899,"community_centre",NA,NA
3334240181,"Ateneu Llibertari de Sants",NA,NA,NA,NA,8014,2.137953,41.3730671,"community_centre",NA,NA
3471091743,"CSA Can Vies",NA,NA,NA,NA,8014,2.1345762,41.3740908,"community_centre",NA,NA
3471101050,"Espai Obert",NA,NA,NA,NA,NA,2.1302626,41.3788286,"community_centre",NA,NA
4234626390,"Centre Cívic La Cadena",NA,NA,NA,NA,8038,2.13889,41.3640691,"community_centre",NA,NA
4546359012,"Ateneu Cooperatiu La Base",NA,NA,NA,NA,NA,2.1670614,41.3727957,"community_centre",NA,NA
6341210187,"Centre cultural de port",NA,NA,NA,"juvenile",NA,2.1440013,41.3567504,"community_centre",NA,NA
6450036171,"Espai Familiar Casa Colors",NA,NA,NA,NA,NA,2.1433331,41.3546513,"community_centre",NA,NA
8221753218,"Casal jove la marina",NA,NA,NA,"juvenile",NA,2.1396558,41.3654954,"community_centre",NA,NA
9935122517,"Grup Mineralògic Català",NA,NA,"club",NA,NA,2.1333065,41.3739966,"community_centre",NA,NA
9935212422,"Espai d'adolescents La Clau",NA,NA,NA,"yongers",8014,2.1465316,41.3743459,"community_centre",NA,NA
10137430518,"Espai Jove la Bàscula",NA,NA,NA,"juvenile",NA,2.1453397,41.3587456,"community_centre",NA,NA
10285074709,"Circ Can Batlló","Can Batlló - Espai veïnal autogestionat",NA,NA,"senior;athlete;girl;boy;disabled;student;family;man;homosexual;immigrant;juvenile;lgbtq;woman;multigeneration",8014,2.1404605,41.3707395,"community_centre",NA,NA
10967400409,"Esplai Xerinola",NA,NA,NA,"child",NA,2.1642043,41.3716156,"community_centre",NA,NA
10982051505,"Punt d'informació juvenil. Punt Multimèdia FAB Casa del Mig",NA,NA,NA,NA,NA,2.1405115,41.3769161,"community_centre",NA,NA
12895298601,"Associació de Veïns Poble Sec",NA,NA,NA,NA,NA,2.1635999,41.3735072,"community_centre",NA,NA
11187415437,"Espai d'adolescents Jovecardí",NA,NA,NA,"juvenile",NA,2.1239326,41.379379,"community_centre",NA,NA
429353161,"Kasa de la Muntanya","Kasa de la Muntanya",NA,NA,NA,NA,2.1532115,41.4113735,"community_centre",NA,NA
1368518028,"Casal d'Avis Montmany",NA,NA,NA,NA,NA,2.1591324,41.4050578,"community_centre",NA,NA
1454018533,"Casal d'Avis de Penitents","Ajuntament de Barcelona",NA,NA,NA,NA,2.1402939,41.4201196,"community_centre",NA,NA
5626136021,"Centre Cultural Popular La Violeta","Ajuntament de Barcelona","public",NA,NA,8012,2.1562181,41.4009765,"community_centre",NA,NA
6126724138,"Centre de Recursos per a les dones",NA,NA,NA,"juvenile",NA,2.1601768,41.4115708,"community_centre",NA,NA
6898609747,"AAVV Penitents Teixonera",NA,NA,NA,NA,NA,2.141093,41.4211475,"community_centre",NA,NA
11339533452,"Cercle",NA,NA,NA,NA,NA,2.1530376,41.4036707,"community_centre",NA,NA
11603224549,"Piccolo Cirkus",NA,NA,NA,NA,NA,2.1591353,41.4028257,"community_centre",NA,NA
11900365169,"Casal Siracusa",NA,NA,NA,"senior",NA,2.1596552,41.4013619,"community_centre",NA,NA
11967079886,"Katla Casa Nórdica",NA,NA,NA,NA,NA,2.1554266,41.4043771,"community_centre",NA,NA
12491955703,"Vallcarca i els Penitents. Espai d'Entitats",NA,NA,NA,NA,NA,2.1454988,41.4113299,"community_centre",NA,NA
13034201902,"Banc Expropiat",NA,NA,NA,NA,8012,2.1621893,41.4025257,"community_centre",NA,NA
1854110335,"Associació de Veïns Trinitat Nova",NA,NA,NA,NA,NA,2.1845735,41.4479746,"community_centre",NA,NA
5906019394,"Ateneu la Bòbila de Porta",NA,NA,NA,NA,NA,2.1770862,41.4336791,"community_centre",NA,NA
6128869158,"Centre d'Educació Ambiental",NA,NA,NA,NA,NA,2.1763512,41.4513687,"community_centre",NA,NA
