osm_id;name;operator;operator.type;community_centre;x;y;facility_category;addr.postcode;social_facility;social_facility.for
295521061;Ludoteca Just Play Bologna;Circolo Arci Sputnik Tom;association;NA;11.3561809;44.546216;community_centre;NA;NA;NA
3939514123;DLF - Gruppo Fermodellistico Bolognese;NA;NA;club_home;11.3542618;44.5060971;community_centre;NA;NA;NA
4523646090;Polisportiva Lame;NA;NA;NA;11.3273155;44.522888;community_centre;NA;NA;NA
4810013826;Eureka;NA;NA;NA;11.3293696;44.5140473;community_centre;NA;NA;NA
12013419921;Casa di Quartiere Fondo Comini;NA;NA;NA;11.3418168;44.5154623;community_centre;NA;NA;NA
12472145602;Circolo Hex;ARCI;NA;NA;11.3472301;44.5141898;community_centre;NA;NA;NA
3368077939;Associazione Portico delle Parole;NA;NA;NA;11.3354544;44.4925186;community_centre;NA;NA;NA
9884010445;Casa di Quartiere Saffi;NA;NA;NA;11.3302837;44.5024678;community_centre;NA;NA;NA
11921551712;Centro Sociale 2 Agosto 1980;NA;NA;NA;11.3214179;44.490486;community_centre;NA;NA;NA
11981283553;Casa di Quartiere Giorgio Costa;NA;NA;NA;11.3351803;44.5016107;community_centre;NA;NA;NA
12520643687;Casa di Quartiere Tolmino;Comune di Bologna;public;NA;11.317991;44.4977495;community_centre;NA;NA;NA
12710150844;Centro Sociale della Pace;NA;NA;NA;11.3317573;44.4957108;community_centre;NA;NA;NA
1704242540;Villa Pini;NA;NA;NA;11.387561;44.4993584;community_centre;NA;NA;NA
4512718873;Circolo Arci Guernelli;ARCI;NA;social_centre;11.3558066;44.5042698;community_centre;NA;NA;NA
10299458412;"Casa di Quartiere ""Scipione dal Ferro""";NA;NA;NA;11.3708136;44.4962334;community_centre;NA;NA;NA
10822361926;Casa di Quartiere Nello Frassinetti;Comune di Bologna;public;NA;11.3738479;44.5036412;community_centre;NA;NA;NA
11211909378;Casalone - RitmoLento;ARCI;NA;youth_centre social_centre;11.3772068;44.5075781;community_centre;NA;NA;NA
11498162880;Casa di Quartiere Pilastro;NA;NA;NA;11.398106;44.5139793;community_centre;NA;NA;NA
11908047383;Casa di Quartiere Croce del Biacco;NA;NA;NA;11.3982335;44.4900638;community_centre;NA;NA;NA
12752259679;Casa di Quartiere Italicus;Comune di Bologna;public;NA;11.3573228;44.504062;community_centre;NA;NA;NA
5951039787;Làbas;NA;NA;NA;11.3544348;44.493594;community_centre;NA;NA;NA
9752891762;Ciclofficina Popolare Ampio Raggio;NA;NA;NA;11.3561745;44.4846143;community_centre;NA;NA;NA
10059579906;SPLIT - Spazio Per Liberare Il Tempo;NA;NA;NA;11.3558517;44.4959282;community_centre;NA;NA;NA
12522656711;Casa di Quartiere Villa Mazzacorati;NA;NA;NA;11.3696804;44.4698527;community_centre;NA;NA;NA
150991745;Casa di quartiere Rosa Marchi;NA;NA;NA;11.29063147;44.49285936;community_centre;NA;NA;NA
149048688;Casa di Quartiere Montanari;NA;NA;social_centre;11.35076208;44.51331276;community_centre;NA;NA;NA
149114100;Casa di Quartiere Casa Gialla;Comune di Bologna;government;NA;11.32704131;44.52077643;community_centre;NA;NA;NA
1126565264;Casa di Quartiere Katia Bertasi;NA;NA;NA;11.3402545;44.51133347;community_centre;NA;NA;NA
148747352;Cassero LGBTQIA+ Center;NA;NA;NA;11.33517144;44.5028628;community_centre;NA;NA;NA
149870826;Casa Gialla;NA;NA;youth_centre;11.39371565;44.51131965;community_centre;NA;NA;NA
254368278;Vag61 Spazio Libero Autogestito;NA;NA;NA;11.3616745;44.50015244;community_centre;NA;NA;NA
150826224;Centro Sociale Foscherara;Ancescao;NA;NA;11.3791907;44.4650261;community_centre;NA;NA;NA
11073703458;"Biblioteca ""Orlando Pezzoli""";Biblioteche Bologna;public;NA;11.2963554;44.5022769;library;NA;NA;NA
11073703459;Biblioteca Borgo Panigale - Miriam Ridolfi;Biblioteche Bologna;public;NA;11.2654653;44.5229552;library;NA;NA;NA
8995754101;Biblioteca Lame - Cesare Malservisi;Biblioteche Bologna;public;NA;11.3297195;44.5184653;library;NA;NA;NA
9754829307;Biblioteca ENEA di Bologna;ENEA;government;NA;11.3443725;44.5255037;library;NA;NA;NA
9767338334;Biblioteca Dario Nobili;Area Territoriale della Ricerca del CNR di Bologna;public;NA;11.3390081;44.5222792;library;NA;NA;NA
12749814934;Biblioteca Corticella Luigi Fabbri;Biblioteche Bologna;public;NA;11.3597174;44.5461688;library;NA;NA;NA
419369013;Biblioteca Oriano Tassinari Clò;Biblioteche Bologna;public;NA;11.3151025;44.4872982;library;NA;NA;NA
1735448479;Biblioteca Renzo Renzi;NA;NA;NA;11.3347494;44.5026588;library;NA;NA;NA
