"osm_id","name","operator","operator.type","community_centre","community_centre.for","addr.postcode","x","y","facility_category","social_facility","social_facility.for"
1365315297,"Pfarrzentrum der Pfarre Maria Treu",NA,NA,"parish_hall",NA,1080,16.3500478,48.211122,"community_centre",NA,NA
11872192516,"SeniorInnentreff Alserstraße",NA,NA,NA,NA,NA,16.3416197,48.2149746,"community_centre",NA,NA
13131518260,"Kunstverein Klangwerk",NA,NA,"club_home",NA,NA,16.348785,48.2133164,"community_centre",NA,NA
7807238189,"Jugendtreff",NA,NA,NA,NA,1140,16.3151616,48.1925872,"community_centre",NA,NA
2166862586,"Fo Guang Shan Tempel Wien",NA,NA,NA,NA,1150,16.331194,48.1876834,"community_centre",NA,NA
3493043297,"d'speis","d'speis",NA,"food_cooperation",NA,1150,16.3301114,48.2019362,"community_centre",NA,NA
4113478562,"CVJM",NA,NA,NA,NA,NA,16.3392427,48.1997054,"community_centre",NA,NA
7805996886,"Zeitraum Wohnzimmer",NA,NA,NA,NA,NA,16.3274708,48.188883,"community_centre",NA,NA
11071786814,"Nachbarschaftszentrum 15",NA,NA,NA,NA,NA,16.3241771,48.1974282,"community_centre",NA,NA
12006076359,"Jugendzentrum Q:WIR","Q:WIR – Verein zur Stärkung und Sichtbarmachung queeren Lebens in Wien.","community","youth_centre",NA,1160,16.3311395,48.2066104,"community_centre",NA,NA
13042858827,"Klub Sperrgasse",NA,NA,"club_home",NA,NA,16.3312514,48.1936296,"community_centre",NA,NA
1709040906,"Österreichisch-Arabisches Forum für Medizin und Kultur",NA,NA,NA,NA,NA,16.3691078,48.1864436,"community_centre",NA,NA
11650296423,"SeniorInnen. Treff",NA,NA,"senior",NA,NA,16.3497831,48.1887181,"community_centre",NA,NA
12032754378,"Blauer Salon",NA,NA,NA,NA,NA,16.3548482,48.1904005,"community_centre",NA,NA
12985569971,"Kirchenheim St. Johannes","Kellerkirche St. Johannes","religious","parish_hall",NA,1050,16.3507031,48.187571,"community_centre",NA,NA
4116262221,"Obolo",NA,NA,NA,NA,NA,16.3977769,48.2197993,"community_centre",NA,NA
13050934874,"Bet Halevi",NA,NA,"cultural_centre",NA,1200,16.3804598,48.2284227,"community_centre",NA,NA
