name;type;district_name;lat;lon
Centre Esportiu Municipal Piscina Sant Jordi;Sports Center;Eixample;41.387958851510035;2.148248944
Centre Esportiu Municipal Can Dragó;Sports Center;Nou Barris;41.436593069404815;2.183157005742885
Refugi climàtic;Climate Shelter;Eixample;41.383652411207244;2.157854759563498
Refugi climàtic;Climate Shelter;Sant Andreu;41.42392588968036;2.188192861522015
Biblioteca Joan Miró;Library;Eixample;41.37884820283017;2.1492483600013053
Equipament Municipal de Plaça Sarrià *Refugi Climàtic;Climate Shelter;Sarrià-Sant Gervasi;41.40001108079365;2.122120839557872
Mercat Ninot;Market;Eixample;41.38785716567697;2.1544122344047523
Refugi Climàtic Pati d'Escola;School / Educational;Les Corts;41.385280979372205;2.1332974994397182
Casal de Gent Gran de Sant Genís dels Agudells;Senior Center;Horta-Guinardó;41.425999650571484;2.138094471
Mercat Sant Martí;Market;Sant Martí;41.41865648109575;2.2053227925569847
Mercat Besòs;Market;Sant Martí;41.419232167534055;2.2151291359475485
Piscina Coberta;Swimming Pool;Sant Andreu;41.438527619932216;2.2013596464176812
Casal de Gent Gran Carlit;Senior Center;Eixample;41.39740416859099;2.174726182535123
Mercat Poblenou - Unió;Market;Sant Martí;41.40102174848232;2.2054291963991535
Centre Cívic Can Castelló;Community Center;Sarrià-Sant Gervasi;41.39904051559378;2.140179532716965
Casal de Gent Gran d'Horta *Feliu i Codina;Senior Center;Horta-Guinardó;41.434457575812424;2.1616916331559097
Centre Cívic Pere Pruna;Community Center;Sarrià-Sant Gervasi;41.40320904460328;2.131320235
Espai Jove Palau Alòs;Neighborhood Center;Ciutat Vella;41.38822070726499;2.178542012071502
Piscina Coberta;Swimming Pool;Sant Martí;41.392393882467395;2.1980208136874495
Piscines Cobertes;Swimming Pool;Sarrià-Sant Gervasi;41.40972803896788;2.141295887779283
Centre Comercial Diagonal Mar;Shopping Center;Sant Martí;41.41045744398306;2.2164227599409685
Casal de Gent Gran Vall d'Hebron;Senior Center;Horta-Guinardó;41.43280895696014;2.1471299773501786
Espai Ajardinat Via Trajana *Refugi Climàtic;Climate Shelter;Sant Martí;41.42896119228946;2.203713855844513
Casal de Barri La Llacuna;Neighborhood Center;Sant Martí;41.40284739623899;2.190664231327776
Centre Cívic Cotxeres Borrell;Community Center;Eixample;41.37557224589931;2.1629307624189775
Centre Cívic Josep Maria Trias i Peitx;Community Center;Les Corts;41.37780921625306;2.1217791346210215
Centre Cívic Convent de Sant Agustí;Community Center;Ciutat Vella;41.38741922402338;2.181725967522791
Biblioteca El Carmel - Juan Marsé;Library;Horta-Guinardó;41.42102779561162;2.1551159636410184
Piscina Coberta;Swimming Pool;Eixample;41.37849159415273;2.151003868
Centre Esportiu Municipal Les Corts;Sports Center;Les Corts;41.38540957993892;2.1335979261241165
Casal de Barri La Barraca del Carmel;Neighborhood Center;Horta-Guinardó;41.424837719718624;2.157306634214751
Espai Lúdic Ambiental per a Famílies LaLudo;Neighborhood Center;Ciutat Vella;41.38737945873459;2.186898929399237
Casal de Barri Can Carol;Neighborhood Center;Gràcia;41.41236403095899;2.1457730218797497
Refugi Climàtic Pati d'Escola;School / Educational;Horta-Guinardó;41.42266294217902;2.165237995113779
Piscina Coberta;Swimming Pool;Ciutat Vella;41.378000077038344;2.176265682413314
Mercat Carmel;Market;Horta-Guinardó;41.42374046652592;2.1558097621188934
Institut Català de la Salut;School / Educational;Eixample;41.387961488793266;2.1654402262804346
Piscines Esportives Cobertes;Swimming Pool;Sants-Montjuïc;41.37671146324603;2.142397968303214
Casal de Gent Gran de la Verneda Alta;Senior Center;Sant Martí;41.42525945;2.204474971878569
Casal de Gent Gran Bascònia;Senior Center;Sant Andreu;41.43695643533223;2.1921826050676105
Piscines Cobertes;Swimming Pool;Gràcia;41.404652795196284;2.1715290067400095
Centre Cívic Tomasa Cuevas - Les Corts;Community Center;Les Corts;41.38481868130682;2.1283416789870513
Biblioteca Barceloneta -  La Fraternitat;Library;Ciutat Vella;41.37923262887593;2.1888716402624535
Casal de Gent Gran Sant Cristòfol;Senior Center;Sants-Montjuïc;41.35803481074543;2.1352119680510184
Mercat Lesseps;Market;Gràcia;41.40913237323212;2.1520583716061497
Centre Comercial Maremàgnum;Shopping Center;Ciutat Vella;41.37576189535446;2.1832313335687172
Biblioteca Les Corts - Miquel Llongueras;Library;Les Corts;41.37800624869995;2.1218422207694956
Museu Etnològic i de Cultures del Món *c.  Montcada;Museum;Ciutat Vella;41.38506495287382;2.180929696
Biblioteca Vallcarca i els Penitents - M. Antonieta Cot;Library;Gràcia;41.42003911577112;2.139674989
Centre Cívic La Sedeta;Community Center;Gràcia;41.405576512012246;2.167687591797475
Casal de Gent Gran Josep Trueta;Senior Center;Ciutat Vella;41.376969254254014;2.1672378540759167
Centre Esportiu Municipal Trinitat Vella;Sports Center;Sant Andreu;41.45145178550841;2.193108007408489
Centre Cívic Trinitat Vella;Community Center;Sant Andreu;41.45165030524977;2.1912043537124344
CRAI - Biblioteca de Física i Química;Library;Les Corts;41.38489994951897;2.1152495646604175
Casal de Gent Gran de la Trinitat Vella;Senior Center;Sant Andreu;41.44992522636068;2.1895350129614184
Centre Cívic Baró de Viver;Community Center;Sant Andreu;41.44632071908157;2.200307689
Casal Cívic Barcelona - Trinitat Vella;Community Center;Sant Andreu;41.449753652075714;2.1912585244409777
Mercat Santa Caterina;Market;Ciutat Vella;41.38639488164491;2.1781771121189712
Mercat Hostafrancs;Market;Sants-Montjuïc;41.37516234439833;2.143853943380838
Centre Ton i Guida;Cultural Center;Nou Barris;41.44644518692781;2.1751243525917228
