Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Seccio_Censal;codi_seccion_censal;average annual income brutto
1;Ciutat Vella;1;el Raval;1;1-1;15762
1;Ciutat Vella;1;el Raval;2;1-2;12735
1;Ciutat Vella;1;el Raval;3;1-3;11754
1;Ciutat Vella;1;el Raval;4;1-4;14967
1;Ciutat Vella;1;el Raval;5;1-5;12207
1;Ciutat Vella;1;el Raval;6;1-6;13500
1;Ciutat Vella;1;el Raval;7;1-7;12349
1;Ciutat Vella;1;el Raval;8;1-8;9541
1;Ciutat Vella;1;el Raval;9;1-9;12923
1;Ciutat Vella;1;el Raval;10;1-10;10751
1;Ciutat Vella;1;el Raval;11;1-11;10605
1;Ciutat Vella;1;el Raval;12;1-12;13750
1;Ciutat Vella;1;el Raval;13;1-13;13729
1;Ciutat Vella;1;el Raval;14;1-14;12924
1;Ciutat Vella;1;el Raval;15;1-15;13620
1;Ciutat Vella;1;el Raval;16;1-16;13039
1;Ciutat Vella;1;el Raval;17;1-17;10951
1;Ciutat Vella;1;el Raval;18;1-18;12703
1;Ciutat Vella;1;el Raval;19;1-19;12843
1;Ciutat Vella;1;el Raval;20;1-20;18962
1;Ciutat Vella;1;el Raval;21;1-21;19301
1;Ciutat Vella;2;el Barri Gòtic;22;2-22;25890
1;Ciutat Vella;2;el Barri Gòtic;23;2-23;20271
1;Ciutat Vella;2;el Barri Gòtic;25;2-25;19248
1;Ciutat Vella;2;el Barri Gòtic;26;2-26;20171
1;Ciutat Vella;2;el Barri Gòtic;27;2-27;17177
1;Ciutat Vella;2;el Barri Gòtic;28;2-28;19047
1;Ciutat Vella;2;el Barri Gòtic;29;2-29;15721
1;Ciutat Vella;2;el Barri Gòtic;30;2-30;15487
1;Ciutat Vella;2;el Barri Gòtic;31;2-31;15210
1;Ciutat Vella;3;la Barceloneta;32;3-32;19393
1;Ciutat Vella;3;la Barceloneta;33;3-33;16291
1;Ciutat Vella;3;la Barceloneta;34;3-34;16552
1;Ciutat Vella;3;la Barceloneta;35;3-35;16793
1;Ciutat Vella;3;la Barceloneta;36;3-36;17266
1;Ciutat Vella;3;la Barceloneta;37;3-37;18007
1;Ciutat Vella;3;la Barceloneta;38;3-38;15309
1;Ciutat Vella;3;la Barceloneta;39;3-39;17245
1;Ciutat Vella;3;la Barceloneta;40;3-40;18883
1;Ciutat Vella;3;la Barceloneta;41;3-41;16298
1;Ciutat Vella;3;la Barceloneta;42;3-42;18139
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;43;4-43;26174
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;44;4-44;20724
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;45;4-45;19579
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;46;4-46;18081
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;47;4-47;19871
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;48;4-48;14160
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;49;4-49;18511
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;50;4-50;17232
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;51;4-51;16824
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;52;4-52;25732
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;53;4-53;16900
1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;54;4-54;18319
