Gemeindebezirk;BEZNR;average annual income brutto
Wien;0;37420
1. Innere Stadt;1;59520
2. Leopoldstadt;2;37639
3. Landstraße;3;42138
4. Wieden;4;43736
5. Margareten;5;34556
6. Mariahilf;6;40667
7. Neubau;7;43722
8. Josefstadt;8;44079
9. Alsergrund;9;42193
10. Favoriten;10;31219
11. Simmering;11;32844
12. Meidling;12;33017
13. Hietzing;13;50225
14. Penzing;14;39731
15. Rudolfsheim-Fünfhaus;15;30682
16. Ottakring;16;32775
17. Hernals;17;35416
18. Währing;18;44633
19. Döbling;19;46800
20. Brigittenau;20;30750
21. Floridsdorf;21;35938
22. Donaustadt;22;39991
23. Liesing;23;41046
